                               c.ID                             c.Name                           c.Salary                           c.Nation                            c.Group                            c.Email                     c.RegisterDate                               e.ID                       e.CustomerID                         e.Nickname                        e.BirthDate                           e.CityID                              ci.ID                         ci.stateID                            ci.Name                      ci.Population                               s.ID                             s.Name                       s.Population                              s.GDP
                                158                     Herman Currier                               7000                                 UK                                  5            hermancurrier@gmail.com                         2012-01-02                               1890                                158                             Pamela                         2012-12-27                                909                                909                                 35                              Tulsa                             113013                                 35                           Oklahoma                            3956984                             559557
                                159                    Stephen Johnson                               5000                                USA                                  0           stephenjohnson@yahoo.com                         2012-02-24                               3996                                159                              Nancy                         2012-04-20                                683                                683                                 11                          Blackfoot                             154323                                 11                              Idaho                            1787065                             656710
                                161                      Holly Thorson                               5500                             Russia                                  2           hollythorson@hotmail.com                         2012-01-02                                924                                161                            Dorothy                         2012-01-25                                357                                357                                 25                            Branson                              50910                                 25                            Montana                            1934408                             947605
                                171                      Robert Walker                              10000                            Romania                                  3             robertwalker@gmail.com                         2012-01-02                               1057                                171                              Chris                         2012-01-25                                625                                625                                 30                              Acoma                             133106                                 30                          NewMexico                            2096829                             903087
                                172                      Andre Sparano                               5740                                USA                                  0             andresparano@gmail.com                         2012-01-02                               1299                                172                                Ray                         2012-04-20                                553                                553                                 20                             Newton                              24078                                 20                      Massachusetts                            6892503                             753636
                                180                         Erma Lujan                               2500                             Russia                                  0                ermalujan@gmail.com                         2012-03-05                                147                                180                             Kiesha                         2012-09-31                                727                                727                                 40                           Aberdeen                              20097                                 40                        SouthDakota                             886741                             871545
                                183                       Valerie Amyx                               6500                            Ukraine                                  6              valerieamyx@yahoo.com                         2012-01-02                               2709                                183                                Ida                         2012-04-20                                795                                795                                 25                            Lebanon                              19089                                 25                            Montana                            1934408                             947605
                                192                         Ruth Lyman                               2500                                USA                                  2              ruthlyman@hotmail.com                         2012-02-24                               3489                                192                             Johnny                         2012-09-31                                877                                877                                 45                         Alexandria                             117832                                 45                           Virginia                            8535247                             309225
                                200                     Sylvester Vega                               2500                            Ukraine                                  4          sylvestervega@hotmail.com                         2012-02-24                               3102                                200                              Emily                         2012-01-25                                 92                                 92                                 26                            Beatice                              74771                                 26                           Nebraska                            1068542                             120140
                                217                       Lesley Okins                               2500                            Germany                                  0            lesleyokins@hotmail.com                         2012-02-24                               3475                                217                               Jack                         2012-09-31                                949                                949                                  3                        Arkadelphia                              51856                                  3                           Arkansas                            3017804                             454302
                                221                         Nita Bauer                               5250                                USA                                  4                nitabauer@yahoo.com                         2012-01-12                               2690                                221                            Richard                         2012-06-24                                368                                368                                  1                             Haines                              65737                                  1                             Alaska                             731545                             194665
                                229                       Alicia Smith                               6000                            Hungary                                  3              aliciasmith@yahoo.com                         2012-01-02                               2545                                229                            Beverly                         2012-09-31                                520                                520                                 31                            Corning                             196713                                 31                            NewYork                           19453625                             825349
                                232                         Kelly Hill                               6000                            Germany                                  4                kellyhill@yahoo.com                         2012-04-20                               3994                                232                           Marjorie                         2012-04-20                                965                                965                                 16                            Ashland                             217318                                 16                           Kentucky                            4467673                             582328
                                233                       George Wiles                               5500                            Germany                                  8            georgewiles@hotmail.com                         2012-04-20                               2675                                233                           Jennifer                         2012-04-20                                986                                986                                 33                              Minot                             210023                                 33                        NorthDakota                             762062                             586738
                                240                  Juliet Thomlinson                               5250                             France                                  9         julietthomlinson@gmail.com                         2012-04-20                               3387                                240                            Dolores                         2012-04-20                                840                                840                                 34                           Alliance                              37806                                 34                               Ohio                           11689110                             780972
                                250                     Eugene Leblanc                               6000                            Romania                                  0            eugeneleblanc@yahoo.com                         2012-02-24                               2849                                250                            Charles                         2012-12-27                                492                                492                                  9                           Americus                              57743                                  9                            Georgia                           10617423                             595910
                                255                   Tiffany Nicholas                               5740                                 UK                                  6          tiffanynicholas@yahoo.com                         2012-04-20                               2774                                255                             Thomas                         2012-06-24                                681                                681                                 12                              Alton                             197277                                 12                           Illinois                           12671821                             812526
                                259                    Patricia Strait                               6500                            Romania                                  3           patriciastrait@yahoo.com                         2012-01-12                                319                                259                              Nancy                         2012-09-31                                313                                313                                  0                             Athens                             124208                                  0                            Alabama                            4903185                             594835
                                261                       Milford Chan                               6500                            Hungary                                  6            milfordchan@hotmail.com                         2012-01-12                               2303                                261                            Bernard                         2012-09-31                                833                                833                                 14                              Boone                              57122                                 14                               Iowa                            3155070                             325710
                                263                       Diana Geesey                              10000                            Ukraine                                  6              dianageesey@gmail.com                         2012-03-05                               3972                                263                            William                         2012-04-20                                829                                829                                 29                         Bloomfield                             213805                                 29                          NewJersey                            8882190                             706403
                                276                       Jeffrey Cook                               5740                                USA                                  1            jeffreycook@hotmail.com                         2012-04-20                               2642                                276                              Nancy                         2012-06-24                                975                                975                                 13                           Anderson                             153954                                 13                            Indiana                            6732219                             207706
                                281                       Kevin Clemon                               5000                             Russia                                  5              kevinclemon@yahoo.com                         2012-04-20                               2832                                281                              Malia                         2012-06-24                                184                                184                                 44                              Barre                              86947                                 44                            Vermont                             623658                             144686
                                282                        Marie Owens                               5250                                 UK                                  0               marieowens@yahoo.com                         2012-04-20                               4547                                282                            Stephen                         2012-01-25                                 88                                 88                                 45                          NewMarket                              26781                                 45                           Virginia                            8535247                             309225
                                295                    Tyrone Sullivan                               5000                             France                                  1           tyronesullivan@gmail.com                         2012-01-12                               3003                                295                             Cheryl                         2012-12-27                                920                                920                                 30                           Portales                             215326                                 30                          NewMexico                            2096829                             903087
                                309                    William Asencio                               5740                            Ukraine                                  4         williamasencio@hotmail.com                         2012-04-20                               2099                                309                             Thomas                         2012-09-31                                886                                886                                 36                            Ashland                              76033                                 36                             Oregon                            4217737                             500051
                                332                     Angelo Clayton                               7000                            Hungary                                  0            angeloclayton@yahoo.com                         2012-04-20                               3144                                332                             Carole                         2012-01-25                                673                                673                                 11                              Nampa                             149027                                 11                              Idaho                            1787065                             656710
                                339                      David Furches                               6500                             Russia                                  2             davidfurches@gmail.com                         2012-04-20                               1394                                339                            Richard                         2012-04-20                                184                                184                                 44                              Barre                              86947                                 44                            Vermont                             623658                             144686
                                340                      Stephen Ruano                               5250                             Russia                                  4           stephenruano@hotmail.com                         2012-04-20                               4027                                340                            Matthew                         2012-06-24                                 67                                 67                                  3                             Camden                              79372                                  3                           Arkansas                            3017804                             454302
                                342                  Stanley Wakefield                               5000                            Hungary                                  2         stanleywakefield@gmail.com                         2012-02-24                               4091                                342                                Ann                         2012-09-31                                813                                813                                 26                               Oman                             196864                                 26                           Nebraska                            1068542                             120140
                                344                       Pamela Cargo                               2500                            Ukraine                                  4              pamelacargo@yahoo.com                         2012-03-05                               3592                                344                             Joseph                         2012-09-31                                 73                                 73                                 14                         Burlington                             143191                                 14                               Iowa                            3155070                             325710
                                351                      David Carrier                               2500                                USA                                  4             davidcarrier@yahoo.com                         2012-01-02                                984                                351                              Vicki                         2012-01-25                                491                                491                                 21                             Warren                              80203                                 21                           Michigan                            9986857                             543891
                                356                       Aaron Thomas                               5740                                USA                                  3            aaronthomas@hotmail.com                         2012-04-20                                381                                356                              Becky                         2012-04-20                                389                                389                                 38                            Newport                             213338                                 38                        RhodeIsland                            1053698                             674938
                                364                       Frank Yousef                               6000                             Russia                                  4            frankyousef@hotmail.com                         2012-01-12                               3636                                364                              Maria                         2012-09-31                                248                                248                                 40                          Spearfish                             139198                                 40                        SouthDakota                             886741                             871545
                                369                       David Tedder                               7000                            Ukraine                                  4              davidtedder@gmail.com                         2012-01-02                               2697                                369                            William                         2012-09-31                                949                                949                                  3                        Arkadelphia                              51856                                  3                           Arkansas                            3017804                             454302
                                378                  Hermelinda Mizell                               6500                            Ukraine                                  0         hermelindamizell@gmail.com                         2012-02-24                               2183                                378                             Carrie                         2012-09-31                                 66                                 66                                 23                        Springfield                             168184                                 23                        Mississippi                            2976149                             283139
                                384                       Danny Zeller                               2500                             Russia                                  0              dannyzeller@yahoo.com                         2012-01-12                               4244                                384                              Fritz                         2012-01-25                                820                                820                                 36                             Albany                             114625                                 36                             Oregon                            4217737                             500051
                                395                      Linda Griffin                               6000                             France                                  0             lindagriffin@yahoo.com                         2012-02-24                               4698                                395                          Constance                         2012-01-25                                264                                264                                 26                            Chadron                             146623                                 26                           Nebraska                            1068542                             120140
                                405                      Kenneth Mason                               5740                                USA                                  7             kennethmason@yahoo.com                         2012-01-12                               1916                                405                             Carmen                         2012-09-31                                757                                757                                  7                              Lewes                             208910                                  7                           Delaware                             973764                             571106
                                406                       Chris Latour                               5500                                USA                                  9            chrislatour@hotmail.com                         2012-01-02                               1625                                406                              James                         2012-06-24                                 46                                 46                                  4                            Arcadia                             236025                                  4                         California                           39512223                             583924
                                408                    Lawrence Romero                               6000                             France                                  6           lawrenceromero@gmail.com                         2012-04-20                               2159                                408                             Joshua                         2012-12-27                                792                                792                                 41                            Lebanon                             114802                                 41                          Tennessee                            6829174                             124653
                                410                      Michael Smith                               6000                                 UK                                  4           michaelsmith@hotmail.com                         2012-04-20                               3693                                410                               Ruth                         2012-12-27                                451                                451                                 10                               Hilo                              36434                                 10                             Hawaii                            1415872                             210444
                                422                    Glenn Burroughs                               2500                                USA                                  8         glennburroughs@hotmail.com                         2012-01-12                               1227                                422                             Pamela                         2012-06-24                                621                                621                                  2                             Bisbee                             228240                                  2                            Arizona                            7278717                             918409
                                431                         Esther Zhu                               5500                            Germany                                  5                estherzhu@yahoo.com                         2012-04-20                               3857                                431                              James                         2012-04-20                                562                                562                                 15                            Abilene                             176450                                 15                             Kansas                            2913314                             266362
                                442                    Janet Coppinger                               2500                             Russia                                  4           janetcoppinger@gmail.com                         2012-04-20                               1615                                442                            William                         2012-06-24                                264                                264                                 26                            Chadron                             146623                                 26                           Nebraska                            1068542                             120140
